#{"t_start": 1709266852.2779326, "env_id": "None"}
r,l,t
-2626.124,15,1120.054602
-2619.846,15,1120.054654
-3419.9783,16,1120.054667
-2632.3892,15,1127.982761
-2394.1887,15,1134.953682
-3444.3237,16,1134.953743
-2305.8147,15,1142.4609
-2480.8398,15,1151.921115
-2298.7075,15,1160.171707
-2433.2542,15,1160.171762
-2432.8848,15,1167.693945
-2511.1267,15,1167.694006
-2558.8882,15,1167.694019
-2395.8186,15,1175.7019
-2597.7852,15,1183.126766
-2599.4707,15,1183.126826
-2302.0212,15,1191.124128
-2518.4194,15,1199.085818
-2394.483,15,1206.674721
-2402.9666,15,1206.674781
-2606.697,15,1214.286292
-2435.2546,15,1214.286353
-2512.4,15,1214.286366
-2453.0645,15,1221.090435
-2592.3105,15,1228.151688
-3455.7776,16,1233.98167
-2400.2495,15,1238.537987
-2581.8784,15,1246.970818
-1610.3278,15,1254.193076
-3442.8499,16,1260.113534
-1647.324,15,1264.594062
-3434.19,16,1270.266179
-3426.7197,16,1270.266236
-2360.4934,15,1274.839518
-3404.0623,16,1283.059436
-3437.784,16,1287.26981
-3458.7039,16,1291.498692
-2600.9841,15,1296.142974
-2468.8792,15,1303.146954
-2606.7063,15,1308.976731
-2448.1562,15,1313.706818
-1936.8387,15,1318.05333
-2625.9546,15,1318.053387
-3394.1826,16,1325.567045
-2588.2979,15,1332.342924
-3443.033,16,1332.342988
-2599.5745,15,1337.04204
-1719.4431,15,1341.145154
-2396.1294,15,1347.995751
-3452.6697,16,1355.471839
-2624.75,15,1355.471902
-2432.5164,15,1360.610403
-2630.3682,15,1360.610467
-2584.6147,15,1368.094405
-2572.42,15,1375.288667
-2615.0195,15,1375.288727
-1636.7283,15,1380.143458
-2418.7754,15,1385.943754
-2519.0903,15,1399.106805
-1923.0455,15,1405.759014
-1875.0431,15,1405.759073
-3311.2253,16,1412.966392
-3238.6833,16,1412.966458
-2519.954,15,1417.622709
-2375.6655,15,1424.441539
-2375.2495,15,1424.4416
-3309.6267,16,1431.765332
-2352.3596,15,1431.76539
-3195.1196,16,1438.494166
-3225.8804,16,1446.949059
-3183.5242,16,1446.949122
-3179.1133,16,1456.186045
-3179.1133,16,1456.186107
-3179.1133,16,1456.186121
-3179.1133,16,1456.186131
-3179.1133,16,1456.18614
-3179.1133,16,1456.18615
-3179.1133,16,1456.186159
-3179.1133,16,1456.186168
-3179.1133,16,1456.186178
-3179.1133,16,1456.186187
-3232.4578,16,1463.882068
-3172.222,16,1463.882118
-3314.6968,16,1463.882132
-3226.2996,16,1463.882143
-3183.982,16,1463.882152
-3277.5776,16,1463.882161
-3231.9739,16,1463.88217
-3193.6384,16,1463.882179
-3260.4185,16,1463.882188
-3322.6487,16,1463.882198
-3204.9214,16,1471.834202
-3181.4604,16,1471.834253
-3188.911,16,1471.834266
-3216.6929,16,1471.834276
-3173.49,16,1471.834285
-3193.8389,16,1471.834294
-3175.5198,16,1471.834303
-3176.3394,16,1471.834312
-3208.6438,16,1471.834321
-3176.6228,16,1471.834331
-3156.7192,16,1479.57285
-3197.7234,16,1479.572906
-3225.7678,16,1479.57292
-3202.1426,16,1479.572939
-3207.585,16,1479.572949
-3198.841,16,1479.572959
-3220.031,16,1479.572968
-3188.4685,16,1479.572978
-3177.426,16,1479.572987
-3238.5413,16,1479.572996
-3198.7812,16,1487.861009
-3237.3862,16,1487.861072
-3211.6025,16,1487.861086
-3186.987,16,1487.861096
-3251.9214,16,1487.861105
-3231.8555,16,1487.861114
-3230.269,16,1487.861124
-3186.0916,16,1487.861132
-3265.0764,16,1487.861142
-3208.0903,16,1487.861151
-3214.9436,16,1495.254881
-3170.0896,16,1495.254943
-3223.51,16,1495.254956
-3203.707,16,1495.254966
-3218.5776,16,1495.254975
-3230.8672,16,1495.254984
-3160.7424,16,1495.254993
-3219.0942,16,1495.255002
-3178.5046,16,1495.255011
-3146.273,16,1495.25502
-3225.4636,16,1503.23856
-3242.964,16,1503.238623
-3183.157,16,1503.238636
-3227.6167,16,1503.238647
-3176.6533,16,1503.238657
-3185.4126,16,1503.238666
-3178.139,16,1503.238676
-3146.4111,16,1503.238686
-3208.9824,16,1503.238695
-3228.4978,16,1503.238704
-3139.5508,16,1518.429016
-3140.889,16,1518.429077
-3136.0645,16,1518.429091
-3152.4197,16,1518.429101
-3136.034,16,1518.429111
-3093.125,16,1518.42912
-3151.3857,16,1518.429129
-3099.0703,16,1518.429142
-3083.669,16,1518.429151
-3145.3274,16,1518.42916
-3283.3328,16,1525.791808
-3238.186,16,1525.791853
-3242.8477,16,1525.791859
-3252.3792,16,1525.791864
-3280.4143,16,1525.791868
-3182.4536,16,1525.791872
-3210.0818,16,1525.791876
-3197.3572,16,1525.79188
-3179.266,16,1525.791884
-3213.396,16,1525.791888
-3158.0825,16,1533.211883
-3208.3713,16,1533.211946
-3233.9517,16,1533.211958
-3219.6665,16,1533.211966
-3224.7288,16,1533.211973
-3142.227,16,1533.21198
-3174.6343,16,1533.211989
-3197.134,16,1533.211996
-3231.7444,16,1533.212003
-3232.3257,16,1533.21201
-3233.5444,16,1540.867339
-3200.2263,16,1540.867397
-3209.1733,16,1540.867411
-3234.375,16,1540.867421
-3263.3438,16,1540.86743
-3172.5295,16,1540.86744
-3227.7969,16,1540.86745
-3209.8347,16,1540.867459
-3260.027,16,1540.867468
-3224.9788,16,1540.867477
-3250.4893,16,1548.863292
-3236.686,16,1548.863344
-3196.0945,16,1548.863354
-3220.873,16,1548.863359
-3156.2578,16,1548.863363
-3227.421,16,1548.863368
-3239.486,16,1548.863372
-3185.1785,16,1548.863376
-3224.9312,16,1548.86338
-3193.237,16,1548.863384
-3150.811,16,1556.24046
-3219.7537,16,1556.24052
-3231.0852,16,1556.240532
-3172.0444,16,1556.240539
-3201.1194,16,1556.240546
-3193.0647,16,1556.240552
-3183.118,16,1556.240559
-3252.8403,16,1556.240565
-3228.6394,16,1556.240572
-3200.4163,16,1556.240579
-3164.6965,16,1563.795504
-3144.2454,16,1563.795551
-3231.2344,16,1563.795564
-3230.2612,16,1563.795584
-3201.9612,16,1563.795594
-3208.353,16,1563.795604
-3132.1797,16,1563.795626
-3228.9907,16,1563.795635
-3208.3125,16,1563.795644
-3181.163,16,1563.795653
-2624.3127,16,1577.471105
-2615.1592,16,1577.47116
-2609.9988,16,1577.471173
-2623.447,16,1577.471184
-2630.4175,16,1577.471194
-2696.856,16,1577.471204
-2997.97,17,1582.124174
-3076.4434,17,1582.124226
-3102.0603,17,1582.124239
-2973.4749,17,1582.124249
-2218.5562,16,1589.495661
-2064.0527,16,1589.495715
-2186.4824,16,1589.495728
-2615.1255,16,1589.495738
-2209.4065,16,1593.747463
-2683.2393,17,1593.747519
-2407.4827,17,1593.747532
-1969.7657,17,1597.92497
-2360.4326,18,1602.575671
-2026.0022,18,1602.575725
-2067.5986,16,1610.590568
-2509.152,17,1610.590625
-2164.7876,17,1610.590638
-2236.2246,17,1610.590649
-2192.8105,16,1610.590658
-2367.9802,17,1610.590667
-2059.0532,16,1614.707744
-2414.356,17,1614.707802
-2474.8108,16,1618.723333
-2136.7803,17,1622.73363
-2538.7815,16,1630.215532
-2136.1362,16,1630.215606
-2240.9478,16,1630.215621
-2552.0996,17,1635.223222
-2471.3916,17,1635.223284
-2413.8809,17,1635.223297
-2196.1785,16,1635.223307
-2326.8193,16,1640.240502
-2238.8381,17,1640.240564
-2228.1978,16,1645.789015
-2209.6528,16,1654.038929
-2105.6113,16,1654.038993
-2761.149,17,1658.128009
-2238.672,16,1662.714003
-2235.3218,17,1662.714061
-2455.0576,17,1662.714074
-2785.8225,17,1662.714084
-2167.6113,17,1662.714103
-2184.4343,16,1662.714113
-2128.6843,16,1668.533712
-2134.358,16,1676.839949
-2124.1782,16,1682.625281
-2371.2334,17,1682.625337
-2309.398,16,1687.313623
-2148.6223,16,1687.313675
-2290.1455,16,1687.313688
-2384.5042,17,1692.279349
-2590.1924,17,1692.279407
-2522.5693,17,1692.27942
-2637.8308,17,1696.756325
-2109.2915,16,1703.983336
-2154.1196,16,1708.733673
-2093.5205,16,1713.4752
-2069.709,16,1713.475257
-2108.6228,16,1713.475271
-2016.6945,17,1713.475281
-2179.3604,16,1718.293224
-2568.3062,17,1723.155837
-2457.789,17,1723.155898
-2305.1797,17,1727.272716
-2182.7222,16,1735.638573
-2114.2754,17,1735.638633
-1839.3137,15,1735.638646
-2162.797,16,1739.877625
-2106.4514,16,1739.877683
-2156.6172,16,1739.877697
-2294.542,16,1744.216409
-2437.206,16,1754.385437
-2477.7822,17,1758.665219
-2094.308,16,1758.665281
-1915.6102,17,1766.709014
-1940.3574,17,1766.709073
-1929.7521,17,1766.709086
-1925.963,17,1771.701735
-1625.574,17,1771.701794
-1740.1831,18,1775.960805
-1596.1064,18,1780.354929
-1433.6902,18,1787.109893
-1489.009,18,1792.283218
-1362.5405,18,1792.283277
-1439.1926,18,1800.522439
-1501.3057,18,1800.522498
-1417.6791,18,1800.522512
-1464.6207,18,1805.363041
-1518.8179,18,1805.363101
-1412.4509,18,1810.125259
-1482.4932,18,1814.488551
-1468.2767,18,1819.239988
-1392.1451,18,1824.056133
-1550.7894,18,1824.056194
-1749.7667,18,1832.077488
-1458.8225,18,1832.077544
-1423.8054,18,1832.077556
-1466.1608,18,1836.610852
-1391.6411,18,1836.610913
-1546.9431,18,1841.112406
-1379.8479,18,1846.052239
-1643.099,18,1850.651733
-1309.609,18,1855.592421
-1493.5397,18,1855.592481
-1468.799,18,1864.695013
-1286.8018,18,1864.695069
-1507.1682,18,1864.695082
-1501.305,18,1870.348494
-1423.4022,18,1870.348554
-1472.7092,18,1874.663316
-1336.5187,18,1879.403521
-1444.884,18,1883.763686
-1405.0616,18,1888.654409
-1505.3297,18,1888.65447
-1466.6722,18,1897.245089
-1403.6963,18,1897.245153
-1403.8243,18,1897.245166
-1392.1688,18,1903.214127
-1410.4923,18,1903.214193
-1505.6879,18,1907.727278
-1478.8369,18,1912.066212
-1639.8783,18,1918.203216
-1520.9106,18,1923.050736
-1520.0217,18,1923.050791
-1431.6644,18,1931.658963
-1454.4478,18,1931.659025
-1408.9391,18,1931.659037
-1572.0369,18,1936.814997
-1531.9661,18,1936.815057
-1471.5591,18,1942.841243
-1360.7721,18,1947.455213
-1480.332,17,1947.455276
-1383.7357,18,1955.223478
-1629.0198,18,1955.223543
-1097.0618,17,1970.373626
-1349.6973,18,1970.373683
-1392.2072,18,1970.373697
-1301.6558,18,1970.373708
-997.12305,17,1970.373718
-1161.041,17,1974.698655
-1197.7876,17,1979.532025
-1162.3616,17,1979.532086
-1219.2867,17,1988.173646
-1215.5416,17,1988.173709
-1450.8761,16,1996.622633
-1101.9685,17,2003.451666
-485.4388,17,2003.45173
-1555.0944,17,2003.451742
-1584.8033,17,2003.451751
-469.47562,17,2010.444957
-1508.6877,17,2018.237982
-388.4481,17,2018.238039
-266.39813,17,2026.13542
-321.33548,18,2031.720289
-1312.079,17,2041.838279
-288.6578,17,2048.418467
-1065.3771,17,2048.418532
-1683.7571,17,2048.418545
-594.7194,18,2055.242002
-1438.1006,17,2055.24206
-230.61342,17,2061.026497
-1070.1461,17,2061.026559
-1581.4911,17,2074.410064
-1581.4911,17,2074.41012
-1581.4911,17,2074.410134
-1581.4911,17,2074.410144
-1581.4911,17,2074.410154
-1581.4911,17,2074.410163
-1581.4911,17,2074.410173
-1581.4911,17,2074.410182
-1581.4911,17,2074.410191
-1581.4911,17,2074.410201
-1878.9407,17,2083.732323
71.76332,17,2083.732378
-288.71863,17,2083.732391
-185.56992,17,2083.732401
-1904.5745,17,2083.73241
-169.69443,18,2090.269816
-510.8723,18,2090.269877
-95.871414,18,2090.269889
-693.85944,18,2090.269899
-1489.6844,19,2095.198055
-510.80478,17,2104.243925
-832.76544,17,2104.243988
-623.41895,17,2104.244002
-1707.519,17,2104.244012
-1631.3779,17,2111.028837
-528.88965,17,2111.0289
-1219.4424,17,2111.028913
-1504.4996,17,2111.028923
-859.6091,18,2111.028933
-458.05652,17,2117.719363
-1867.6104,17,2127.381824
-343.05798,17,2127.381891
-1543.4733,17,2127.381917
-634.40906,17,2127.381928
-770.59753,17,2134.167228
-1416.5482,17,2134.167286
-1500.4585,17,2134.167299
-1160.9043,17,2134.167309
-1063.731,17,2134.167318
-234.19516,17,2139.936997
-1280.2227,17,2149.583135
-1743.512,17,2149.583195
-1441.1012,17,2149.583209
-275.03958,17,2149.583219
-176.69582,17,2156.047576
-1800.257,17,2156.047639
-361.62012,17,2156.047653
-759.3677,18,2163.367048
-537.8636,18,2163.36711
-1451.2672,17,2163.367124
-1073.5142,18,2179.171392
-2028.6399,19,2185.706432
-1119.515,19,2185.706492
-1863.1624,19,2185.706506
-1988.3345,20,2194.478203
-2391.4602,20,2194.478263
-1714.819,20,2201.086808
-1414.4269,21,2201.086866
-1349.0126,21,2206.680662
-1522.6094,21,2206.680714
685.5942,16,2216.164633
722.05206,16,2216.164694
283.099,17,2216.164708
719.19196,16,2225.834098
335.6673,19,2232.5927
324.7644,17,2238.590823
499.9043,17,2245.356638
253.6571,19,2245.356695
399.62753,17,2245.356708
284.71725,19,2250.959485
508.97113,17,2260.950194
105.125595,18,2267.127866
260.03314,18,2267.127929
418.68512,17,2273.518784
479.044,16,2273.51884
321.3606,17,2281.316581
534.496,17,2287.492176
330.0789,17,2287.492235
133.90637,18,2294.150527
257.46655,18,2301.648596
598.65375,16,2309.976683
577.52875,16,2315.923356
523.5781,17,2323.934653
114.502975,20,2332.656162
304.02615,17,2332.65622
-37.683216,19,2332.656234
310.28522,17,2338.22379
354.6391,17,2338.223848
321.3392,17,2344.962213
363.67474,17,2352.580195
352.97733,17,2362.696691
272.67685,17,2369.526726
458.14014,17,2378.830925
713.05853,16,2388.496795
603.8458,17,2388.496855
337.63867,17,2388.496869
508.03156,16,2393.911482
-72.70414,19,2399.656427
345.20993,17,2406.300175
180.7828,19,2406.300227
351.85623,17,2414.571066
685.522,16,2414.571126
336.1792,17,2422.482469
405.01486,17,2430.296531
610.18506,17,2430.296574
635.5385,16,2430.296582
315.35062,17,2430.296587
711.97174,16,2438.828153
307.88162,17,2438.828214
301.33646,17,2444.32655
372.9624,17,2451.911988
261.82028,19,2459.720857
486.22833,17,2467.520198
759.79785,16,2474.367112
624.9982,16,2474.367173
500.88513,16,2474.367187
361.70102,17,2482.177736
627.3706,17,2489.984696
307.17102,17,2489.984759
93.81087,19,2498.996782
737.4775,16,2513.244421
625.1241,17,2522.547902
689.505,16,2522.547963
684.8731,16,2528.977086
678.8485,16,2528.977143
668.0035,16,2528.977156
702.4193,16,2534.349488
705.0065,16,2542.454971
694.8682,16,2542.45503
590.1451,16,2550.563134
700.24536,16,2558.877496
748.46497,15,2568.350154
719.89386,15,2575.570406
708.2363,16,2575.570467
707.1731,16,2580.80365
662.8796,16,2580.803713
706.3868,16,2587.816644
733.525,16,2595.360581
716.40405,17,2602.095891
633.86096,17,2610.854865
640.5828,17,2618.870764
762.58734,16,2624.766298
687.60376,16,2631.591907
749.56085,16,2638.301192
686.3538,17,2638.301252
724.3763,16,2638.301265
714.02374,16,2644.086175
744.0529,16,2651.713132
664.0185,17,2661.052957
715.522,16,2670.572211
638.0544,16,2678.520868
697.7689,16,2687.639903
663.4972,17,2687.639963
716.71277,16,2693.719988
